stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
628R,628R,"Stade",,48.5305999,7.5673,,,0,12646,,
12648,12648,"Collège de la Souffel",,48.6390002957,7.6687999162,,,1,,,
47A,47A,"Collège de la Souffel",,48.6389999,7.6688001,,,0,12648,,
47R,47R,"Collège de la Souffel",,48.6389999,7.6688001,,,0,12648,,
12649,12649,"Vignes",,48.6402999383,7.6697004014,,,1,,,
125R,125R,"Vignes",,48.6402999,7.6697,,,0,12649,,
12658,12658,"Cimetière",,48.4648499543,7.72115008575,,,1,,,
5733A,5733A,"Cimetière",,48.4650999,7.7214001,,,0,12658,,
5733R,5733R,"Cimetière",,48.4645999,7.7209,,,0,12658,,
12660,12660,"Niederau",,48.4763002369,7.7298004381,,,1,,,
819A,819A,"Niederau",,48.4762999,7.7298001,,,0,12660,,
819R,819R,"Niederau",,48.4762999,7.7298001,,,0,12660,,
12661,12661,"Thumenau",,48.4508991455,7.7155996298,,,1,,,
820A,820A,"Thumenau",,48.4508999,7.7156,,,0,12661,,
820R,820R,"Thumenau",,48.4508999,7.7156,,,0,12661,,
12670,12670,"route de Hurtigheim",,48.624900108,7.5707497653,,,1,,,
346A,346A,"Route de Hurtigheim",,48.6247999,7.5707001,,,0,12670,,
346R,346R,"Route de Hurtigheim",,48.6249999,7.5708001,,,0,12670,,
12671,12671,"Champs",,48.6656492952,7.4765498686,,,1,,,
347A,347A,"Champs",,48.6656999,7.4764,,,0,12671,,
347R,347R,"Champs",,48.6655999,7.4767001,,,0,12671,,
12672,12672,"Mittelkurz",,48.6692000825,7.48165033675,,,1,,,
348A,348A,"Mittelkurz",,48.6690999,7.4813001,,,0,12672,,
348R,348R,"Mittelkurz",,48.6692999,7.482,,,0,12672,,
12684,12684,"Hôtel de Ville",,48.317400049,7.70505001115,,,1,,,
824A,824A,"Hôtel de ville",,48.3173999,7.7051,,,0,12684,,
824R,824R,"Hôtel de ville",,48.3173999,7.705,,,0,12684,,
12685,12685,"Nouveau Faubourg",,48.32240000745,7.6997502211,,,1,,,
825A,825A,"Nouveau Faubourg",,48.3223998,7.6999,,,0,12685,,
825R,825R,"Nouveau Faubourg",,48.3223999,7.6996,,,0,12685,,
12686,12686,"Office du Tourisme-Bac",,48.31399978795,7.7115503867,,,1,,,
5698A,5698A,"Office du Tourisme-Bac",,48.3138998,7.7115,,,0,12686,,
5698R,5698R,"Office du Tourisme-Bac",,48.3140999,7.7116,,,0,12686,,
12695,12695,"Lotissement Rohrbach",,48.6982990889,7.5513003031,,,1,,,
179A,179A,"Lotissement Rohrbach",,48.6982999,7.5513,,,0,12695,,
179R,179R,"Lotissement Rohrbach",,48.6982999,7.5513,,,0,12695,,
12696,12696,"Place de l'église",,48.6958996087,7.5461997644,,,1,,,
180A,180A,"Place de l'église",,48.6958999,7.5462001,,,0,12696,,
180R,180R,"Place de l'église",,48.6958999,7.5462001,,,0,12696,,
12701,12701,"Fuchsloch",,48.6345000993,7.3774501043,,,1,,,
13A,13A,"Fuchsloch",,48.6343999,7.3775001,,,0,12701,,
13R,13R,"Fuchsloch",,48.6345999,7.3774001,,,0,12701,,
12702,12702,"Les Domaines",,48.6438998459,7.4128500927,,,1,,,
18A,18A,"Les Domaines",,48.6437999,7.4131,,,0,12702,,
18R,18R,"Les Domaines",,48.6439999,7.4126,,,0,12702,,
12703,12703,"Route de Singrist",,48.6511000724,7.3905499434,,,1,,,
5736A,5736A,"Route de Singrist",,48.6517999,7.3904,,,0,12703,,
5736R,5736R,"Route de Singrist",,48.6503999,7.3907001,,,0,12703,,
12706,12706,"Zone Artisanale",,48.3890990437,7.7186995562,,,1,,,
257A,257A,"Zone Artisanale",,48.3890999,7.7187,,,0,12706,,
257R,257R,"Zone Artisanale",,48.3890999,7.7187,,,0,12706,,
12721,12721,"route de Saverne",,48.7108774,7.5158642,,,1,,,
182A,182A,"Route de Saverne",,48.710837,7.5158831,,,0,12721,,
182R,182R,"Route de Saverne",,48.7108999,7.5158,,,0,12721,,
RPRIN,RPRIN,"Rue principale",,48.7108951,7.5159095,,,0,12721,,
12726,12726,"Chateau",,48.4463007401,7.4290504893,,,1,,,
750A,750A,"Chateau",,48.4461999,7.4291,,,0,12726,,
750R,750R,"Chateau",,48.4463999,7.4290001,,,0,12726,,
12738,12738,"CAT",,48.74115039805,7.375300078,,,1,,,
5711A,5711A,"CAT",,48.7411999,7.3752,,,0,12738,,
5711R,5711R,"CAT",,48.7410999,7.3754,,,0,12738,,
12739,12739,"CFA Jules Verne",,48.7360796,7.373466,,,1,,,
5712A,5712A,"CFA Jules Verne",,48.7360999,7.3735001,,,0,12739,,
5712R,5712R,"CFA Jules Verne",,48.7360999,7.3735001,,,0,12739,,
12743,12743,"rue des Clefs",,48.7394495971,7.3680999696,,,1,,,
5613A,5613A,"Rue des clefs",,48.7392999,7.368,,,0,12743,,
5613R,5613R,"Rue des clefs",,48.7395999,7.3682001,,,0,12743,,
12749,12749,"Montagne",,48.5931497945,7.4927997702,,,1,,,
571A,571A,"Montagne",,48.5929999,7.4928,,,0,12749,,
571R,571R,"Montagne",,48.5932999,7.4928,,,0,12749,,
12750,12750,"Pfarrgarde",,48.5925503508,7.4988002228,,,1,,,
572A,572A,"Pfarrgarde",,48.5924999,7.4989001,,,0,12750,,
572R,572R,"Pfarrgarde",,48.5925999,7.4987001,,,0,12750,,
12770,12770,"route de Fessenheim",,48.6573997698,7.5669499439,,,1,,,
54A,54A,"Route de Fessenheim",,48.6573999,7.5669,,,0,12770,,
54R,54R,"Route de Fessenheim",,48.6573999,7.5670001,,,0,12770,,
12788,12788,"RD1061",,48.8430215,7.20841,,,1,,,
2093A,2093A,"RD1061",,48.8429982,7.2084,,,0,12788,,
2093R,2093R,"RD1061",,48.8429982,7.2084,,,0,12788,,
12815,12815,"Gare Routière des Halles",,48.5875999661,7.7415999799,,,1,,,
157A,157A,"Gare Routière des Halles",,48.5875999,7.7416,,,0,12815,,
157R,157R,"Gare Routière des Halles",,48.5875999,7.7416,,,0,12815,,
12816,12816,"Halles / Sébastopol",,48.5860988,7.7429517,,,1,,,
573A,573A,"Halles / Sébastopol",,48.5860999,7.7429,,,0,12816,,
573R,573R,"Halles / Sébastopol",,48.5860999,7.7429,,,0,12816,,
12817,12817,"Lycée Marcel Rudloff",,48.5856165,7.695053,,,1,,,
19A,19A,"Lycée Marcel Rudloff",,48.5856999,7.6953001,,,0,12817,,
19R,19R,"Lycée Marcel Rudloff",,48.5857999,7.6951,,,0,12817,,
12828,12828,"Reebweg",,48.62749963695,7.6277998349,,,1,,,
41A,41A,"Reebweg",,48.6273999,7.6279,,,0,12828,,
41R,41R,"Reebweg",,48.6275999,7.6277,,,0,12828,,
12841,12841,"Fontaine",,48.59495013645,7.4656500912,,,1,,,
11A,11A,"Fontaine",,48.5948999,7.4656001,,,0,12841,,
11R,11R,"Fontaine",,48.5949999,7.4657001,,,0,12841,,
12842,12842,"Orée des Vignes",,48.59419964225,7.4707002487,,,1,,,
24A,24A,"Orée des Vignes",,48.5940999,7.4707,,,0,12842,,
24R,24R,"Orée des Vignes",,48.5942999,7.4707001,,,0,12842,,
12845,12845,"BEHLENHEIM - Rue de Wiwersheim",,48.6460499343,7.61710026795,,,1,,,
175A,175A,"BEHLENHEIM - Rue de Wiwersheim",,48.6461999,7.6173001,,,0,12845,,
175R,175R,"BEHLENHEIM - Rue de Wiwersheim",,48.6458999,7.6169001,,,0,12845,,
12849,12849,"Maison des Services",,48.66529899075,7.60609978265,,,1,,,
187A,187A,"Maison des services",,48.6653999,7.6059,,,0,12849,,
187R,187R,"Maison des services",,48.6651999,7.6063,,,0,12849,,
12850,12850,"place du Marché",,48.66305058065,7.6069501378,,,1,,,
186A,186A,"Place du marché",,48.6630999,7.607,,,0,12850,,
186R,186R,"Place du marché",,48.6629999,7.6069001,,,0,12850,,
12882,12882,"Route des Vins",,48.61255045625,7.46709996315,,,1,,,
5104A,5104A,"Route des vins",,48.6125999,7.4670001,,,0,12882,,
5104R,5104R,"Route des vins",,48.6124999,7.4672001,,,0,12882,,
12883,12883,"Rue des Vignerons",,48.6190990655,7.47085014895,,,1,,,
5745A,5745A,"Rue des Vignerons",,48.6189999,7.4709,,,0,12883,,
5745R,5745R,"Rue des Vignerons",,48.6191999,7.4708,,,0,12883,,
12888,12888,"Collège Marcel Pagnol",,48.6389999343,7.4323003107,,,1,,,
56A,56A,"Collège Marcel Pagnol",,48.6389999,7.4323,,,0,12888,,
56R,56R,"Collège Marcel Pagnol",,48.6389999,7.4323,,,0,12888,,
12891,12891,"Moulin",,48.6379999,7.4526001,,,1,,,
60A,60A,"Moulin",,48.6379999,7.4526001,,,0,12891,,
60R,60R,"Moulin",,48.6379999,7.4526001,,,0,12891,,
12892,12892,"RD824",,48.6332989914,7.4175996943,,,1,,,
29A,29A,"RD824",,48.6332999,7.4176001,,,0,12892,,
29R,29R,"RD824",,48.6332999,7.4176001,,,0,12892,,
12893,12893,"route de Romanswiller",,48.6380998,7.4400001,,,1,,,
28A,28A,"Route de Romanswiller",,48.6380998,7.4400001,,,0,12893,,
28R,28R,"Route de Romanswiller",,48.6380998,7.4400001,,,0,12893,,
12899,12899,"Birris",,48.60325073635,7.4446001618,,,1,,,
481A,481A,"Birris",,48.6031999,7.4445001,,,0,12899,,
481R,481R,"Birris",,48.6032998,7.4447001,,,0,12899,,
12903,12903,"Moineaux",,48.3951502103,7.58435029035,,,1,,,
5723A,5723A,"Moineaux",,48.3951999,7.5841001,,,0,12903,,
5723R,5723R,"Moineaux",,48.3950999,7.5846,,,0,12903,,
12908,12908,"Paix",,48.6736995308,7.5090997725,,,1,,,
350A,350A,"Paix",,48.6736999,7.5091001,,,0,12908,,
350R,350R,"Paix",,48.6736999,7.5091001,,,0,12908,,
12909,12909,"Prés",,48.6683000133,7.5146997249,,,1,,,
351A,351A,"Prés",,48.6682999,7.5147,,,0,12909,,
351R,351R,"Prés",,48.6682999,7.5147,,,0,12909,,
12914,12914,"Place des Acacias",,48.7203994058,7.6329998882,,,1,,,
129A,129A,"Place des acacias",,48.7204999,7.6329,,,0,12914,,
129R,129R,"Place des acacias",,48.7202998,7.6331001,,,0,12914,,
12936,12936,"Landsbourg",,48.6416008746,7.6047003485,,,1,,,
46A,46A,"Landsbourg",,48.6415999,7.6047,,,0,12936,,
46R,46R,"Landsbourg",,48.6415999,7.6047,,,0,12936,,
12937,12937,"Vignes",,48.63910029485,7.60780009505,,,1,,,
45A,45A,"Vignes",,48.6390999,7.6076,,,0,12937,,
45R,45R,"Vignes",,48.6390999,7.6080001,,,0,12937,,
12939,12939,"Woellenheimerthal",,48.6771999,7.5040001,,,1,,,
5727A,5727A,"Woellenheimerthal",,48.6771999,7.5040001,,,0,12939,,
5727R,5727R,"Woellenheimerthal",,48.6771999,7.5040001,,,0,12939,,
12945,12945,"Kléber",,48.589149944,7.66904973195,,,1,,,
16A,16A,"Kléber",,48.5887999,7.6689,,,0,12945,,
16R,16R,"Kléber",,48.5894999,7.6692,,,0,12945,,
12946,12946,"rue du Donon",,48.5868999,7.6651,,,1,,,
576A,576A,"Rue du Donon",,48.5868999,7.6645,,,0,12946,,
576R,576R,"Rue du Donon",,48.5868998,7.6657,,,0,12946,,
12947,12947,"Grand'Rue",,48.7026993217,7.4489000462,,,1,,,
5728A,5728A,"Grand'Rue",,48.7026999,7.4489001,,,0,12947,,
5728R,5728R,"Grand'Rue",,48.7026999,7.4489001,,,0,12947,,
13179,13179,"Place de l'Ecole",,48.1165535,7.5404843,,,1,,,
PLEC1,PLEC1,"Place de l'école",,48.1165083,7.5404605,,,0,13179,,
PLEC2,PLEC2,"Place de l'école",,48.1165952,7.5405135,,,0,13179,,
14007,14007,"Centre",,48.5576408,7.6431999,,,1,,,
636A,636A,"Centre",,48.5573999,7.6433001,,,0,14007,,
636R,636R,"Centre",,48.5576999,7.6432001,,,0,14007,,
14032,14032,"Jacob",,48.5923439,7.7174453,,,1,,,
37A,37A,"Jacob",,48.5921999,7.7174,,,0,14032,,
37R,37R,"Jacob",,48.5923999,7.7174,,,0,14032,,
14037,14037,"Mittelberg",,48.6123141,7.696999,,,1,,,
115A,115A,"Mittelberg",,48.6122999,7.6968,,,0,14037,,
115R,115R,"Mittelberg",,48.6123999,7.6972001,,,0,14037,,
14052,14052,"Banlieue",,48.6008577,7.6979201,,,1,,,
39A,39A,"Banlieue",,48.6007999,7.6978,,,0,14052,,
39R,39R,"Banlieue",,48.6008999,7.6979001,,,0,14052,,
14056,14056,"Berstett",,48.6000437,7.7117988,,,1,,,
106A,106A,"Berstett",,48.5998999,7.7117001,,,0,14056,,
106R,106R,"Berstett",,48.5999999,7.712,,,0,14056,,
14078,14078,"Mairie",,48.5859242,7.647803,,,1,,,
564A,564A,"Mairie",,48.5857999,7.6474001,,,0,14078,,
564R,564R,"Mairie",,48.5860999,7.6483001,,,0,14078,,
14197,14197,"Saint-Florent",,48.5915399,7.7212759,,,1,,,
190A,190A,"Saint-Florent",,48.5913999,7.7219,,,0,14197,,
190R,190R,"Saint-Florent",,48.5915999,7.7216,,,0,14197,,
14225,14225,"Collège La Fontaine",,48.5168223,7.6504374,,,1,,,
713A,713A,"Collège de la Fontaine",,48.5166999,7.6502001,,,0,14225,,
713R,713R,"Collège de la Fontaine",,48.5168999,7.6506001,,,0,14225,,
14228,14228,"Lycée Couffignal",,48.5586407,7.7486854,,,1,,,
729A,729A,"Lycée Couffignal",,48.5586999,7.7484,,,0,14228,,
729R,729R,"Lycée Couffignal",,48.5584999,7.7482001,,,0,14228,,
14364,14364,"Station de Pompage",,48.5079151,7.6101671,,,1,,,
704A,704A,"Station de pompage",,48.5079999,7.6105001,,,0,14364,,
704R,704R,"Station de pompage",,48.5074999,7.6094,,,0,14364,,
14371,14371,"Hippodrome",,48.6850379,7.6981047,,,1,,,
5748A,5748A,"Hippodrome",,48.6849999,7.6981001,,,0,14371,,
5748R,5748R,"Hippodrome",,48.6849999,7.6981001,,,0,14371,,
14597,14597,"Eglise",,48.6628846,7.8222854,,,1,,,
WAEGL1,WAEGL1,"Eglise",,48.6624915,7.8220183,,,0,14597,,
WAEGL2,WAEGL2,"Eglise",,48.6628026,7.8222702,,,0,14597,,
14605,14605,"Mairie",,48.5836373,7.6663447,,,1,,,
575A,575A,"Mairie",,48.5836999,7.6664,,,0,14605,,
575R,575R,"Mairie",,48.5835999,7.6663,,,0,14605,,
16615,16615,"Quai des pêcheurs",,48.8145649,7.7958404,,,1,,,
260A,260A,"Quai des pêcheurs",,48.8145999,7.7962001,,,0,16615,,
260R,260R,"Quai des pêcheurs",,48.8144999,7.7952001,,,0,16615,,
16622,16622,"Rond Point de Landau",,48.8223187,7.7926688,,,1,,,
213A,213A,"Landau",,48.8224999,7.793,,,0,16622,,
213R,213R,"Landau",,48.8221999,7.7924,,,0,16622,,
16641,16641,"Place Schuman",,48.8123399,7.7944205,,,1,,,
2142A,2142A,"Place Schumann",,48.8123999,7.7945,,,0,16641,,
2142R,2142R,"Place Schumann",,48.8121999,7.7943001,,,0,16641,,
16800,16800,"Place Vanolles",,48.2577282,7.4523287,,,1,,,
223A,223A,"Place Vanolles",,48.2576999,7.4523,,,0,16800,,
223R,223R,"Place Vanolles",,48.2576999,7.4523,,,0,16800,,
16809,16809,"Rathsamhausen Centre",,48.2638413,7.497401,,,1,,,
2005A,2005A,"Centre",,48.2637999,7.4975,,,0,16809,,
2005R,2005R,"Centre",,48.2638999,7.4973,,,0,16809,,
5312,5312,"Rathsamhausen - Centre",,48.2638254,7.4974892,,,0,16809,,
16820,16820,"Batteuse",,48.2535731,7.3991574,,,1,,,
2156A,2156A,"Place de la batteuse",,48.2534999,7.3987,,,0,16820,,
2156R,2156R,"Place de la batteuse",,48.2535999,7.3994001,,,0,16820,,
16905,16905,"Saint-Jean",,48.462192148525,7.472776446825,,,1,,,
744A,744A,"Saint-Jean",,48.4622999,7.4721,,,0,16905,,
744R,744R,"Saint-Jean",,48.4621999,7.4731001,,,0,16905,,
