from_stop_id,to_stop_id,transfer_type,min_transfer_time
5762R,5712A,0,
5762R,5712R,0,
5762R,5612A,0,
5762R,5612R,0,
5314,780A,0,
5314,780R,0,
5312,2005A,0,
5312,2005R,0,
590R,590A,0,
CBNRD1,796A,0,
CBNRD1,796R,0,
CBNRD2,796A,0,
CBNRD2,796R,0,
CBNRD2,CBNRD1,0,
HATTM2,HATTM1,0,
SPLV,HATTM1,0,
SPLV,HATTM2,0,
STNB2,STNB1,0,
RERN1,STNB1,0,
RERN2,STNB1,0,
RERN2,RERN1,0,
RTSV2,RTSV1,0,
RHTE2,ZRNH1,0,
RHTE2,ZRNH2,0,
RHTE2,RHTE1,0,
MONSM,ZRNH1,0,
MONSM,RHTE1,0,
MONSM,RHTE2,0,
RSTNB,RHTE1,0,
RSTNB,MONSM,0,
STBO1,ZRNH1,0,
STBO1,ZRNH2,0,
STBO2,ZRNH1,0,
STBO2,ZRNH2,0,
STBO2,STBO1,0,
5753R,2233A,0,
5753R,2233R,0,
5753R,2231A,0,
5753R,2231R,0,
97A,97R,0,
WASCI2,WASCI1,0,
WASRD1,60A,0,
WASRD1,60R,0,
WASRD2,60A,0,
WASRD2,60R,0,
WASRD2,WASRD1,0,
213A,227A,0,
213A,227R,0,
213R,227A,0,
213R,227R,0,
213R,213A,0,
2074A,2074R,0,
RPRIN,182A,0,
RPRIN,182R,0,
RDTS2,RDST1,0,
ZEHN2,ZEHN1,0,
RDMUG2,RDMUG1,0,
RDLIL1,705A,0,
RDLIL1,705R,0,
RDLIL1,RDMUG1,0,
RDLIL1,RDMUG2,0,
RDLIL2,705A,0,
RDLIL2,705R,0,
RDLIL2,RDMUG1,0,
RDLIL2,RDMUG2,0,
RDLIL2,RDLIL1,0,
BLVDLC1,2087A,0,
BLVDLC1,2087R,0,
BLVDLC2,2087A,0,
BLVDLC2,2087R,0,
BLVDLC2,BLVDLC1,0,
FRQR02,FRQR01,0,
LAARC2,LAARC1,0,
NOPFA1,2711,0,
NOKIR1,2711,0,
NOKIR1,NOPFA1,0,
WAEGL2,WAEGL1,0,
ACTUI2,ACTUI1,0,
121P,5693A,0,
121P,5693R,0,
121P,121A,0,
121P,121R,0,
706A,RDMUG1,0,
706A,RDMUG2,0,
706A,RDLIL1,0,
706A,RDLIL2,0,
706R,RDMUG1,0,
706R,RDMUG2,0,
706R,RDLIL1,0,
706R,RDLIL2,0,
706R,706A,0,
707A,RDMUG1,0,
707A,RDMUG2,0,
707A,RDLIL1,0,
707A,RDLIL2,0,
707R,RDMUG1,0,
707R,RDMUG2,0,
707R,RDLIL1,0,
707R,RDLIL2,0,
707R,707A,0,
5690A,5690R,0,
224R,224A,0,
245A,245R,0,
2176R,2175A,0,
2176R,2176A,0,
2177R,2177A,0,
84P,123A,0,
84P,123R,0,
84P,125R,0,
RSOUR1,227A,0,
RSOUR1,227R,0,
RSOUR1,213A,0,
RSOUR1,213R,0,
RSOUR2,227A,0,
RSOUR2,227R,0,
RSOUR2,213A,0,
RSOUR2,213R,0,
RSOUR2,RSOUR1,0,
STPAU2,STPAU1,0,
56A,56A,1,
56R,56R,1,
